ID,市区町村名,地番,価格(円/平米),利用の現状,周辺の土地の利用の現況
147,港区,高輪２丁目４５番１７,1210000,共同住宅,マンションのほか一般住宅等も見られる住宅地域
148,港区,六本木３丁目２８番１,1310000,住宅,一般住宅を中心に共同住宅も見られる住宅地域
149,港区,東麻布２丁目１７番１５,1390000,共同住宅,一般住宅、マンション、事務所等混在の住宅地域
150,港区,白金４丁目４６８番４９外,1390000,住宅,一般住宅が建ち並ぶ区画整然とした住宅地域
151,港区,南麻布１丁目３５番１外,2990000,共同住宅,共同住宅の中に事務所等も見られる住宅地域
152,港区,白金台３丁目５５番４外,3560000,共同住宅兼診療所,高層共同住宅、店舗兼共同住宅の建ち並ぶ地域
153,港区,新橋１丁目１０３番４,12700000,店舗、事務所兼駐車場,高層の店舗兼事務所が建ち並ぶ中心的商業地域
154,港区,六本木４丁目１４番４,9280000,店舗兼事務所,中高層の店舗ビルが建ち並ぶ繁華な商業地域
155,港区,芝２丁目４０１番１,3140000,店舗兼事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
156,港区,高輪３丁目４６６番１５,4650000,店舗兼事務所,高層の店舗兼事務所ビル等が多い商業地域
157,港区,新橋３丁目２８番１３,5000000,ホテル,中高層の店舗、事務所ビルが建ち並ぶ商業地域
158,港区,赤坂４丁目１４７番１外,4980000,店舗、事務所兼住宅,中高層の事務所ビルが建ち並ぶ商業地域
159,港区,赤坂２丁目１３０１番５外,4500000,店舗兼事務所,中高層の店舗ビル等が建ち並ぶ繁華な商業地域
160,港区,虎ノ門２丁目１７番２外,4250000,店舗兼事務所,中高層の事務所ビル、店舗等が建ち並ぶ商業地域
161,港区,北青山３丁目１７９番外,10000000,店舗、事務所兼駐車場,中高層の店舗、事務所ビルが建ち並ぶ商業地域
162,港区,高輪２丁目１番９,3490000,建築中,中高層の事務所、店舗等が建ち並ぶ商業地域
163,港区,麻布十番２丁目２０番２外,3250000,店舗、事務所兼住宅,中高層店舗兼マンション等が建ち並ぶ商業地域
164,港区,芝大門２丁目２０１番１外,2180000,事務所兼車庫,中高層の事務所ビルが建ち並ぶ商業地域
165,港区,芝５丁目２０２番１外,4950000,店舗兼事務所,高層店舗兼事務所ビルが建ち並ぶ駅前商業地域
166,港区,白金台２丁目２番１８３,2000000,事務所,中高層事務所、共同住宅等が建ち並ぶ商業地域
167,港区,芝大門１丁目３０２番７外,4640000,店舗兼事務所,高層の店舗、事務所ビルが多い商業地域
168,港区,虎ノ門５丁目１４番１外,5570000,駅舎、店舗兼事務所,中高層の店舗兼事務所ビルが建ち並ぶ商業地域
169,港区,東新橋１丁目１２番２外,10500000,事務所兼駐車場,高層の事務所等の建ち並ぶ再開発された商業地域
170,港区,西新橋２丁目３１１番１７,1390000,事務所兼住宅,中層の事務所、低層の店舗等が見られる商業地域
171,港区,元赤坂１丁目５０７番１外,2280000,事務所,高層の事務所ビルが建ち並ぶ商業地域
172,港区,南青山３丁目３番５外,3990000,店舗兼事務所,中高層の店舗兼事務所が多く建ち並ぶ商業地域
173,港区,虎ノ門４丁目１１番１,3130000,店舗兼事務所,中高層の店舗、事務所ビル等が建ち並ぶ商業地域
174,港区,西麻布３丁目１９番１６,2060000,店舗兼事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
175,港区,赤坂６丁目１３１０番,2900000,事務所兼車庫,中高層店舗兼事務所ビル等が建ち並ぶ商業地域
176,港区,港南２丁目８番６７,4810000,店舗兼事務所,中高層の店舗兼事務所ビルが多い駅前商業地域
177,港区,東麻布２丁目３２番１６外,2110000,店舗兼事務所,中高層事務所、マンション等が混在する商業地域
178,港区,港南２丁目１６番２外,10700000,事務所、店舗兼駐車場,高層の事務所ビル等が建ち並ぶ大規模開発地域
179,港区,浜松町１丁目１１５番９外,1500000,事務所,中層の事務所ビルが多く建ち並ぶ商業地域
180,港区,浜松町２丁目１０７番８,1620000,事務所,小規模の店舗、事務所等が混在する商業地域
181,港区,六本木４丁目２０番７,2160000,店舗、事務所兼共同住宅,中層の店舗兼事務所等が建ち並ぶ商業地域
182,港区,新橋６丁目６２番４,1600000,事務所兼共同住宅,中層の事務所ビルが建ち並ぶ商業地域
183,港区,芝５丁目２番１２２外,1890000,事務所,中低層の店舗兼事務所ビルが建ち並ぶ商業地域
184,港区,新橋２丁目２８番４外,9860000,店舗,中高層の店舗ビルが建ち並ぶ駅前の商業地域
185,港区,新橋２丁目８番５外,10600000,店舗兼事務所,高層店舗兼事務所ビルが建ち並ぶ商業地域
186,港区,芝３丁目３１番４４,3380000,事務所、診療所兼駐車場,中高層の事務所ビルが建ち並ぶ商業地域
187,港区,赤坂２丁目２０７番,9040000,事務所、店舗兼駐車場,高層の店舗兼事務所ビルが建ち並ぶ商業地域
188,港区,西新橋１丁目１０４番６外,8090000,店舗兼事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
189,港区,新橋６丁目１７番３,2620000,店舗、事務所兼住宅,中小規模の店舗兼事務所ビルが建ち並ぶ商業地域
190,港区,新橋３丁目１２番２,1680000,店舗兼事務所,小規模の店舗兼事務所ビルが密集する商業地域
191,港区,虎ノ門１丁目３５番,9650000,事務所兼駐車場,中高層店舗兼事務所ビルが建ち並ぶ商業地域
192,港区,新橋１丁目３０番９,5700000,事務所,中高層店舗兼事務所ビルが建ち並ぶ中心商業地域
193,港区,西新橋１丁目１５番１,2820000,事務所兼駐車場,中層の店舗兼事務所ビル等が建ち並ぶ商業地域
194,港区,南青山２丁目７７番１外,12400000,事務所兼駐車場,中高層の事務所ビル、店舗等が建ち並ぶ商業地域
195,港区,南青山７丁目２１４番外,2390000,事務所、店舗兼住宅,中高層の事務所ビル等が建ち並ぶ商業地域
196,港区,麻布台３丁目５番９外,3000000,店舗、事務所兼住宅,中高層店舗兼事務所等に官庁ビルもある商業地域
197,港区,赤坂２丁目２１１９番１外,1400000,事務所,店舗、事務所ビル等が見られる商業地域
198,港区,麻布十番３丁目７番２外,2470000,店舗兼共同住宅,店舗兼共同住宅等が建ち並ぶ近隣商業地域
199,港区,海岸１丁目２１番９外,2440000,店舗、事務所兼駐車場,事務所ビル、マンション等が混在する商業地域
200,港区,六本木７丁目２１２番２６,3420000,店舗,店舗、オフィス及びマンション等が混在する地域
201,港区,芝４丁目１０９番１外,3150000,事務所兼倉庫,高層の事務所等が建ち並ぶ商業地域
202,港区,赤坂２丁目７０１番１,2840000,店舗、事務所兼住宅,店舗、事務所ビル等が建ち並ぶ商業地域
203,港区,三田４丁目５３９番４外,2000000,事務所、作業所兼倉庫,事務所ビル、共同住宅等が建ち並ぶ商業地域
204,港区,白金１丁目３３９番１３外,1890000,店舗兼共同住宅,中高層の店舗兼共同住宅等が建ち並ぶ商業地域
205,港区,東新橋２丁目５９番６外,3300000,店舗兼事務所,高層の店舗兼事務所ビル等が建ち並ぶ商業地域
206,新宿区,大久保１丁目２１９番４,552000,住宅,一般住宅、アパート等が混在する住宅地域
207,新宿区,市谷左内町２２番,998000,共同住宅,共同住宅、事務所ビル等が混在する住宅地域
208,新宿区,西早稲田２丁目６５６番６,940000,住宅,中層マンション、一般住宅等が混在する住宅地域
209,新宿区,大京町６番８,845000,住宅,中規模一般住宅、マンションが混在する住宅地域
210,新宿区,北新宿４丁目２２番３０,680000,共同住宅,マンションのほかに事務所等も見られる住宅地域
211,新宿区,下落合４丁目６０４番６,604000,住宅,中規模一般住宅、アパート等が混在する住宅地域
212,新宿区,中落合４丁目１６８０番１３７外,560000,住宅,一般住宅が建ち並ぶ閑静な住宅地域
213,新宿区,下落合２丁目４１７番２１,933000,共同住宅,一般住宅、共同住宅が建ち並ぶ閑静な住宅地域
214,新宿区,西新宿５丁目４９８番２,710000,住宅,一般住宅、アパート等が混在する住宅地域
215,新宿区,矢来町３５番５,793000,住宅,中規模一般住宅に事務所等が見られる住宅地域
216,新宿区,西落合３丁目１５８番６,587000,住宅,中規模一般住宅が多い閑静な住宅地域
217,新宿区,早稲田鶴巻町５２３番６,735000,共同住宅兼住宅,共同住宅を中心に事業所等も混在する住宅地域
218,新宿区,新宿６丁目４３８番６,771000,住宅,一般住宅、共同住宅、営業所が混在する住宅地域
